,Gene,Variance,Expression,Decay,Rate01Median,Rate01MAD,Rate10Median,Rate10MAD,EjectMedian,EjectMAD,BurstMedian,BurstMAD,Cell,Condition,SD_expr,SEM_expr,norm_eject,norm_expr,norm_BS,norm_SEM_expr,norm_BS_MAD,off_time,off_time_MAD
1,Pim1,4.24753855,1.500538379,0.003541525,0.001620648,3.72589592148814e-05,0.321293484,0.136825078,0.529423448,0.222051485,1.652004732,0.064243531,ESr1,ESCCDMSO,2.060955737,0.025465254,0.463448602,1.313546682,1.446137842,0.022291866,0.056237734,617.0369869,14.18577654
2,Pim1,6.841986079,2.493265993,0.003541525,0.002828864,8.39745931731774e-05,0.273709663,0.121427347,0.430682053,0.185779435,1.579331327,0.07827006,ESr2,ESCRDMSO,2.615719037,0.043637764,0.221838,1.284244693,0.81349037,0.022477171,0.040315758,353.4988032,10.49358305
3,Pim1,12.4196779,4.406673944,0.017268764,0.015615943,0.000585385,0.09874667,0.017859677,0.278676688,0.035759304,2.822609272,0.236406758,aB,CtrlSpaB,3.524156338,0.043870677,0.383795932,6.068909254,3.887321765,0.060419073,0.325581421,64.03711731,2.400517278
4,Pim1,1.343830399,0.561185984,0.017268764,0.003164911,0.000212652,0.14423029,0.062007938,0.224482199,0.086700715,1.572869277,0.18336914,rB,CtrlSprB,1.15923699,0.026828727,0.662638082,1.656537602,4.642876295,0.079194415,0.541278444,315.9646666,21.22982792
5,Pim1,5.431576771,3.744082494,0.011472403,0.022722838,0.00380991,0.031141711,0.013098555,0.050903396,0.008102717,1.635184759,0.680400318,MAST,MAST,2.330574344,0.035628031,0.127087725,9.347645961,4.082476344,0.088950555,1.698718257,44.00858663,7.378865839
6,Pim1,0.901629301,0.604782609,0.005872215,0.002242001,0.000459329,0.014123347,0.008466997,0.012877642,0.00481212,0.917326853,0.344122292,SKINr1,SKINr1,0.949541627,0.019773537,0.010901257,0.511964126,0.776540915,0.016738811,0.291308424,446.0301615,91.3802574
7,Pim1,1.038008297,0.638814016,0.005872215,0.002425524,0.000305778,0.034267471,0.020049482,0.027858925,0.012998389,0.828409491,0.186353822,SKINr2,SKINr2,1.018826922,0.026411858,0.022525828,0.516524402,0.669825186,0.021355776,0.150679688,412.2820634,51.9750955
8,Pim1,1.994938204,1.387090206,0.01276876,0.011024486,0.001881769,0.028858185,0.013078029,0.032018673,0.007073235,1.110036803,0.411447209,LNK,NK,1.412422813,0.020111904,0.019290812,0.835702858,0.668781976,0.012117147,0.24789131,90.70717767,15.48280446
9,Pim1,2.665456992,1.572633034,0.017268764,0.013217482,0.000970979,0.066186746,0.018196876,0.081556636,0.014291815,1.232748447,0.195237743,CH12,WT,1.632622734,0.019159652,0.189487896,3.653840323,2.864155773,0.04451535,0.453613477,75.65737791,5.557920716
10,Pim1,43.71254915,8.822290125,0.017268764,0.014282445,0.000367268,0.091838794,0.011380228,0.566039883,0.050210386,6.164353688,0.35047217,CH12r1,sWTr1,6.611546653,0.083476729,0.232926568,3.63039041,2.536644136,0.034350845,0.144220014,70.01602365,1.800436827
11,Pim1,1.540222542,0.76095214,0.017268764,0.004272573,0.000328693,0.045465937,0.012507754,0.076450369,0.01469461,1.683728153,0.235007459,BMr1,WTB220BMr1,1.241057026,0.019699318,0.33860048,3.370274917,7.457271574,0.087248742,1.040853559,234.0509991,18.0057415
12,Pim1,1.246947797,0.612720045,0.017268764,0.0035375,0.000408079,0.047839735,0.020240033,0.076436079,0.023497251,1.6075328,0.324891106,BMr2,WTB220BMr2,1.116668168,0.026564758,0.266919121,2.139653123,5.613595642,0.09276564,1.134538156,282.6855508,32.61007071