Gene,Total_specific,B_enhancer,ES_enhancer,Type
Myc,14,10,4,> B cells
Btg1,14,10,4,> B cells
Tsc22d1,12,1,11,> ES cells
RP23-85E24.1,11,3,8,> ES cells
Tgif1,11,3,8,> ES cells
0610040F04Rik,10,9,1,> B cells
6430527G18Rik,10,0,10,> ES cells
Bhlhe40,10,9,1,> B cells
Med13l,10,5,5,Same
Mknk2,10,4,6,> ES cells
Swap70,10,8,2,> B cells
Dusp1,9,4,5,Same
Etv5,9,0,9,> ES cells
Irf2bp2,9,7,2,Same
Obfc2a,9,8,1,> B cells
Pvt1,9,9,0,> B cells
Zfp36l1,9,9,0,> B cells
Bcar3,8,7,1,> B cells
Bcl2l11,8,7,1,> B cells
Calm1,8,2,6,> ES cells
Cldn25,8,8,0,> B cells
Gm16998,8,8,0,> B cells
Man1a,8,8,0,> B cells
Myh9,8,1,7,> ES cells
Plekha2,8,8,0,> B cells
Sik1,8,6,2,> B cells
Atp6v1a,7,6,1,> B cells
Ddx6,7,6,1,> B cells
Hvcn1,7,7,0,> B cells
Ing1,7,4,3,> ES cells
Jarid2,7,2,5,> ES cells
Naa50,7,6,1,> B cells
Nfil3,7,7,0,> B cells
Pim3,7,1,6,> ES cells
Slc38a2,7,5,2,> B cells
Slc9a3r1,7,2,5,> ES cells
SNORA71,7,0,7,> ES cells
Stt3b,7,6,1,Same
Tfrc,7,4,3,Same
Tob1,7,1,6,> ES cells
5S_rRNA,6,1,5,> ES cells
A330009N23Rik,6,0,6,> ES cells
Acvr1b,6,1,5,> ES cells
AL596123.1,6,0,6,> ES cells
Arf6,6,6,0,> B cells
Arl15,6,0,6,> ES cells
Azin1,6,4,2,> B cells
B4galnt4,6,0,6,> ES cells
C130036L24Rik,6,2,4,> ES cells
Cisd3,6,0,6,> ES cells
Cradd,6,3,3,> ES cells
Ddit4,6,2,4,> ES cells
Fam43a,6,3,3,> B cells
Fbxo11,6,4,2,> ES cells
Fmnl3,6,5,1,> B cells
Fnbp1,6,5,1,Same
Fth1,6,5,1,> B cells
Gadd45g,6,2,4,> ES cells
Gimap8,6,5,1,Same
Gm10244,6,0,6,> ES cells
Gm11613,6,0,6,> ES cells
Gm16912,6,2,4,> B cells
Gm9887,6,6,0,> B cells
Grasp,6,0,6,> ES cells
Klf2,6,3,3,> B cells
Mir3091,6,1,5,> ES cells
Mkrn1,6,0,6,> ES cells
Mllt6,6,0,6,> ES cells
Mylip,6,5,1,> B cells
Ncl,6,2,4,> ES cells
Nfkbiz,6,4,2,> B cells
Nup160,6,6,0,> B cells
Pim1,6,2,4,> B cells
Plekho2,6,5,1,> B cells
Poldip3,6,1,5,> ES cells
Rcc1,6,1,5,> ES cells
Rps21,6,1,5,> ES cells
Sdc4,6,2,4,> ES cells
Sh3bp5,6,6,0,> B cells
Slc20a1,6,1,5,> ES cells
Socs1,6,2,4,> ES cells
Socs3,6,2,4,> ES cells
Stk17b,6,6,0,> B cells
Sub1,6,5,1,> B cells
Tbl1xr1,6,4,2,> ES cells
Tmsb4x,6,6,0,> B cells
1190002H23Rik,5,3,2,> B cells
1700056E22Rik,5,4,1,> B cells
4930477E14Rik,5,0,5,Same
5730420D15Rik,5,0,5,> ES cells
9130230N09Rik,5,3,2,Same
9430023L20Rik,5,0,5,> ES cells
B3gnt2,5,3,2,Same
B4galt5,5,4,1,> B cells
BC031781,5,1,4,> ES cells
BC042782,5,5,0,> B cells
BC048644,5,2,3,> ES cells
Best4-ps,5,0,5,> ES cells
Bola1,5,0,5,> ES cells
Cab39,5,3,2,Same
Calm2,5,3,2,> B cells
Camk2d,5,5,0,> B cells
Cd81,5,3,2,Same
Cic,5,1,4,> ES cells
Cited2,5,4,1,> B cells
Clic4,5,3,2,> ES cells
Csnk2a1,5,0,5,> ES cells
Csrnp2,5,0,5,> ES cells
Dusp10,5,4,1,> B cells
Eif2b3,5,0,5,> ES cells
Fam46c,5,5,0,> B cells
Fam72a,5,2,3,> ES cells
Fam89b,5,2,3,> ES cells
Fbxo36,5,0,5,> ES cells
Ficd,5,5,0,> B cells
Gadd45b,5,2,3,> ES cells
Gm12057,5,3,2,Same
Gm12474,5,5,0,> B cells
Gm15444,5,0,5,> ES cells
Gm16490,5,0,5,> ES cells
Gm20544,5,2,3,> ES cells
Gm2529,5,0,5,> ES cells
Gtdc1,5,5,0,Same
Hist2h2ab,5,0,5,> ES cells
Hist2h2ac,5,0,5,> ES cells
Hist2h2bb,5,0,5,> ES cells
Hist2h2be,5,0,5,> ES cells
Hist2h3b,5,0,5,> ES cells
Hmgb2,5,0,5,> ES cells
Ier2,5,0,5,> ES cells
Iscu,5,4,1,Same
Itpk1,5,0,5,> ES cells
Jun,5,5,0,> B cells
Klf3,5,2,3,Same
Klf9,5,0,5,> ES cells
Lmbr1l,5,0,5,> ES cells
Lnpep,5,5,0,> B cells
Mfsd11,5,4,1,> B cells
Myo1e,5,5,0,> B cells
Otud7b,5,0,5,#N/A
Pabpc1,5,1,4,> ES cells
Pcif1,5,2,3,> ES cells
Phip,5,4,1,> B cells
Ppp1cc,5,4,1,> ES cells
Ppp1r16b,5,5,0,> B cells
R74862,5,3,2,Same
Rbpj,5,3,2,Same
RP24-201C14.10,5,0,5,> ES cells
Rps20,5,2,3,> B cells
Sart3,5,4,1,Same
Sgk1,5,0,5,> ES cells
Slc25a39,5,0,5,> ES cells
Slc38a1,5,5,0,> B cells
Slc7a5,5,2,3,> ES cells
Smad7,5,2,3,> ES cells
Snhg3,5,1,4,> B cells
Snora73a,5,1,4,> B cells
Snora73b,5,1,4,> B cells
snoU54,5,2,3,> B cells
Socs2,5,0,5,> ES cells
Srgap2,5,2,3,> ES cells
Srsf2,5,4,1,> B cells
Srsf7,5,4,1,> B cells
Ssbp3,5,0,5,> ES cells
Tmem131,5,2,3,> B cells
Tpst2,5,3,2,Same
Trip12,5,0,5,> ES cells
Trp53,5,0,5,> ES cells
Ttc39d,5,4,1,> B cells
Ube2d2,5,0,5,> ES cells
Ubtf,5,1,4,> ES cells
Wrap53,5,0,5,> ES cells
Wsb1,5,2,3,> ES cells
0610007P08Rik,4,4,0,> B cells
1700028N14Rik,4,4,0,> B cells
1700034H15Rik,4,0,4,> ES cells
1700045H11Rik,4,1,3,> ES cells
2010015M23Rik,4,1,3,> ES cells
2310033E01Rik,4,2,2,Same
2310044G17Rik,4,1,3,> ES cells
2610002J02Rik,4,1,3,> ES cells
2810408I11Rik,4,1,3,Same
4930558J22Rik,4,0,4,> ES cells
5830403L16Rik,4,2,2,> ES cells
8430410A17Rik,4,2,2,Same
A830031A19Rik,4,4,0,> B cells
Actb,4,0,4,> ES cells
Adam9,4,3,1,> ES cells
Adamtsl4,4,0,4,> ES cells
Adc,4,2,2,> ES cells
Adm,4,4,0,#N/A
Aff1,4,2,2,> ES cells
Ahdc1,4,0,4,> ES cells
Arid1a,4,2,2,> B cells
Arl4c,4,3,1,> B cells
B2m,4,3,1,> B cells
B4galt1,4,4,0,Same
BC106179,4,4,0,> B cells
Bcl11a,4,4,0,> B cells
Bend3,4,0,4,> ES cells
Btg2,4,0,4,> ES cells
Caprin2,4,1,3,> ES cells
Cbx3,4,2,2,> ES cells
Ccnyl1,4,1,3,Same
Cdkn1a,4,0,4,> ES cells
Chd2,4,2,2,Same
Chrac1,4,4,0,> B cells
Cish,4,4,0,> B cells
Csnk1g2,4,4,0,> B cells
Cxcr7,4,4,0,> B cells
D330023K18Rik,4,0,4,> ES cells
Derl1,4,4,0,> B cells
Dnajb14,4,0,4,> ES cells
Dtl,4,3,1,> B cells
Dynll1,4,0,4,> ES cells
Dyrk1a,4,3,1,> B cells
Edem1,4,4,0,> B cells
Eif2c2,4,4,0,> B cells
Enoph1,4,1,3,> ES cells
Errfi1,4,1,3,> ES cells
Etnk1,4,0,4,> ES cells
Ext1,4,2,2,> B cells
Fam100b,4,4,0,> B cells
Fam107b,4,4,0,> B cells
Fam122a,4,3,1,> B cells
Fasn,4,1,3,Same
Foxp4,4,2,2,Same
Frmd6,4,0,4,> ES cells
Gapdh,4,0,4,> ES cells
Glul,4,2,2,> ES cells
Gm10382,4,3,1,> B cells
Gm11508,4,1,3,> ES cells
Gm12063,4,4,0,> B cells
Gm12306,4,0,4,> ES cells
Gm13830,4,0,4,> ES cells
Gm13836,4,2,2,> ES cells
Gm14164,4,0,4,> ES cells
Gm14454,4,4,0,Same
Gm16723,4,2,2,Same
Gm17040,4,4,0,> B cells
Gm17300,4,0,4,> ES cells
Gm20390,4,0,4,> ES cells
Gpr107,4,0,4,> ES cells
Grcc10,4,1,3,> ES cells
H2afz,4,0,4,> ES cells
Hemk1,4,4,0,> B cells
Hist1h1a,4,0,4,> ES cells
Hist1h3a,4,0,4,> ES cells
Hist1h4a,4,0,4,> ES cells
Hist1h4b,4,0,4,> ES cells
Hnrnpa2b1,4,2,2,> ES cells
Hnrpdl,4,1,3,> ES cells
Id1,4,0,4,> ES cells
Id3,4,4,0,> B cells
Ier5l,4,1,3,> ES cells
Ints7,4,3,1,> B cells
Itpr1,4,4,0,> B cells
Jak1,4,4,0,> B cells
Jdp2,4,2,2,> ES cells
Jmjd1c,4,0,4,> ES cells
Klf10,4,0,4,> ES cells
Klf13,4,1,3,> ES cells
Litaf,4,4,0,> B cells
Ly75,4,1,3,> ES cells
Map3k11,4,0,4,> ES cells
Map3k14,4,4,0,> B cells
Mettl11a,4,1,3,> ES cells
Mllt10,4,0,4,> ES cells
Nfkbia,4,4,0,> B cells
Nfkbid,4,2,2,> ES cells
Nme1,4,0,4,> ES cells
Nup210,4,2,2,Same
Pcnxl3,4,0,4,> ES cells
Pcyox1l,4,0,4,> ES cells
Phf15,4,1,3,> ES cells
Pik3r2,4,0,4,> ES cells
Plk3,4,2,2,Same
Pmepa1,4,4,0,Same
Ppp2r5c,4,0,4,> ES cells
Pptc7,4,4,0,> B cells
Psma6,4,3,1,Same
Ptch1,4,4,0,> B cells
Pycr2,4,2,2,Same
Rab1,4,0,4,> ES cells
Rassf3,4,2,2,> ES cells
Reep3,4,0,4,> ES cells
Rel,4,4,0,> B cells
Rhoq,4,2,2,Same
Rnf157,4,3,1,> B cells
Rnf19b,4,3,1,> B cells
Rpa2,4,0,4,> ES cells
Rpl7l1,4,1,3,Same
Scd2,4,1,3,> ES cells
Sirt1,4,0,4,> ES cells
Slc25a13,4,1,3,> ES cells
Slc30a1,4,0,4,> ES cells
Slc6a6,4,0,4,> ES cells
Slc9a8,4,3,1,Same
Smarcal1,4,1,3,Same
Snord118,4,0,4,> ES cells
Snx30,4,4,0,> B cells
Sp2,4,0,4,> ES cells
Sppl3,4,1,3,> B cells
Srsf1,4,1,3,> ES cells
Ssbp4,4,2,2,Same
St6gal1,4,4,0,> B cells
Tesk2,4,0,4,> ES cells
Tfeb,4,1,3,> ES cells
Tm2d2,4,3,1,> ES cells
Tmem107,4,0,4,> ES cells
Tmsb10,4,1,3,> ES cells
Tnfaip3,4,4,0,> B cells
Tra2b,4,0,4,> ES cells
Trib3,4,0,4,> ES cells
Trim24,4,1,3,> ES cells
Trim8,4,1,3,> ES cells
Ttc7b,4,1,3,Same
Ttpal,4,4,0,> B cells
Tuba1b,4,0,4,> ES cells
U2af1,4,0,4,> ES cells
Ubc,4,3,1,> B cells
Ube2i,4,2,2,> ES cells
Ube2l6,4,0,4,> ES cells
Utrn,4,1,3,> ES cells
Wasf2,4,2,2,Same
Xrcc1,4,2,2,Same
Zbtb7a,4,2,2,> B cells
0610039K10Rik,3,3,0,> B cells
1110034A24Rik,3,2,1,> ES cells
1500012F01Rik,3,1,2,> ES cells
1700001O22Rik,3,1,2,Same
1700055D18Rik,3,2,1,> B cells
1700086P04Rik,3,3,0,> B cells
1810059C17Rik,3,0,3,> ES cells
2010012P19Rik,3,0,3,> ES cells
2310003C23Rik,3,0,3,> ES cells
2310015A10Rik,3,3,0,> B cells
2410003K15Rik,3,1,2,> ES cells
2610019E17Rik,3,2,1,> B cells
4831440E17Rik,3,0,3,> ES cells
4930578M01Rik,3,0,3,#N/A
5031425E22Rik,3,1,2,> B cells
6030443J06Rik,3,0,3,> ES cells
8430406I07Rik,3,3,0,> B cells
9130401M01Rik,3,3,0,> B cells
9330151L19Rik,3,2,1,> ES cells
9530052E02Rik,3,1,2,Same
A630055G03Rik,3,3,0,> B cells
AC155932.2,3,0,3,> ES cells
Acbd4,3,2,1,Same
Acot8,3,3,0,> B cells
Adrb2,3,3,0,> B cells
Agap3,3,0,3,> ES cells
Alpl,3,2,1,> B cells
Apobec3,3,3,0,> B cells
Arc,3,0,3,> ES cells
Arhgap27,3,2,1,> B cells
Arpc2,3,2,1,Same
Arrdc2,3,1,2,> ES cells
Atf4,3,2,1,> B cells
Atp1a1,3,2,1,Same
Atp2a2,3,0,3,> ES cells
Atp5d,3,0,3,> ES cells
Banp,3,2,1,Same
Birc2,3,0,3,> ES cells
Brd2,3,0,3,Same
Btbd19,3,0,3,> ES cells
Btf3l4,3,0,3,> ES cells
C330006D17Rik,3,0,3,> ES cells
Cabin1,3,2,1,Same
Cables2,3,0,3,> ES cells
Capn10,3,0,3,> ES cells
Casp3,3,1,2,Same
Cbwd1,3,3,0,> B cells
Ccdc111,3,1,2,Same
Cct4,3,3,0,> B cells
Cd82,3,3,0,> B cells
Cdkn2aipnl,3,0,3,> ES cells
Cfl1,3,0,3,> ES cells
Cirbp,3,0,3,> ES cells
Cks2,3,1,2,> ES cells
Clasp1,3,3,0,> B cells
Cltc,3,1,2,> ES cells
Cnnm2,3,0,3,> ES cells
Coq5,3,0,3,#N/A
Cox5a,3,0,3,> ES cells
Cox6a1,3,0,3,#N/A
Cpox,3,3,0,> B cells
Crat,3,0,3,> ES cells
Creg1,3,3,0,> B cells
Csnk1a1,3,0,3,> B cells
Cyb5r3,3,3,0,> B cells
Cyc1,3,0,3,> ES cells
Cyth1,3,3,0,> B cells
Ddt,3,2,1,Same
Dedd2,3,2,1,Same
Dido1,3,0,3,> ES cells
Dlgap5,3,0,3,Same
Dnajb4,3,1,2,> ES cells
Dos,3,0,3,> ES cells
Dpp8,3,0,3,> ES cells
Dusp5,3,2,1,> ES cells
Dusp6,3,2,1,> B cells
Dync1h1,3,0,3,> ES cells
Dynll2,3,0,3,> ES cells
E030042O20Rik,3,2,1,> ES cells
E230016M11Rik,3,1,2,> ES cells
Eef1a1,3,1,2,Same
Eif4a1,3,1,2,Same
Eif5,3,1,2,> ES cells
Elk4,3,2,1,> B cells
Etf1,3,0,3,> ES cells
Ezh2,3,2,1,> B cells
Fam117a,3,3,0,> B cells
Fam133b,3,2,1,> B cells
Fam136a,3,0,3,> ES cells
Fam69a,3,3,0,> B cells
Fau,3,1,2,> ES cells
Fbxw7,3,3,0,> B cells
Fchsd2,3,3,0,> B cells
Foxh1,3,0,3,> ES cells
Fubp1,3,1,2,> ES cells
Gadd45a,3,1,2,> ES cells
Gbas,3,0,3,> ES cells
Gdf15,3,2,1,> ES cells
Gm10472,3,0,3,> ES cells
Gm10762,3,0,3,> ES cells
Gm11335,3,0,3,> ES cells
Gm11521,3,3,0,> B cells
Gm11641,3,2,1,> B cells
Gm13067,3,2,1,> ES cells
Gm15728,3,0,3,> ES cells
Gm15890,3,3,0,> B cells
Gm16091,3,3,0,> B cells
Gm17292,3,0,3,> ES cells
Gm17444,3,0,3,> ES cells
Gm2a,3,2,1,> ES cells
Gm9949,3,3,0,> B cells
Gmfg,3,0,3,> ES cells
Gpr19,3,0,3,> ES cells
Haus4,3,0,3,> ES cells
Hectd3,3,0,3,> ES cells
Herpud1,3,3,0,> B cells
Hhex,3,3,0,> B cells
Hist1h2af,3,0,3,> ES cells
Hist1h3g,3,0,3,> ES cells
Hist1h4h,3,0,3,> ES cells
Hist2h4,3,1,2,Same
Hspa5,3,1,2,> ES cells
Hspa8,3,1,2,> ES cells
Inpp5a,3,2,1,> B cells
Ipmk,3,2,1,> B cells
Iqcg,3,2,1,Same
Iqgap1,3,3,0,> B cells
Irs2,3,1,2,Same
Jhdm1d,3,1,2,> ES cells
Kcnk5,3,1,2,> ES cells
Kctd12,3,3,0,> B cells
Klf6,3,2,1,> B cells
Klhdc9,3,0,3,> ES cells
Lace1,3,0,3,> ES cells
Larp1,3,1,2,Same
Lifr,3,3,0,> B cells
Llgl2,3,1,2,> ES cells
Lrrc1,3,1,2,Same
Map2k2,3,0,3,> ES cells
Map3k3,3,1,2,> B cells
Map4k4,3,1,2,Same
Mapre2,3,2,1,Same
March2,3,0,3,> ES cells
Mcl1,3,1,2,> ES cells
Mdm2,3,1,2,Same
Mfsd3,3,0,3,> ES cells
Mfsd5,3,0,3,> ES cells
Mir5130,3,3,0,> B cells
Mll3,3,0,3,> ES cells
Mll5,3,1,2,> B cells
Mrpl49,3,1,2,> ES cells
Mus81,3,0,3,> ES cells
Mybl2,3,0,3,Same
Myo1c,3,3,0,> B cells
Myst3,3,1,2,> ES cells
Nfe2l2,3,2,1,> ES cells
Nop2,3,1,2,> ES cells
Nucks1,3,1,2,Same
Orc5,3,0,3,> ES cells
Pdcd4,3,3,0,> B cells
Pfkp,3,2,1,> B cells
Phc2,3,2,1,> ES cells
Phf17,3,0,3,> ES cells
Phf8,3,3,0,> B cells
Pigt,3,2,1,> B cells
Plcd3,3,2,1,Same
Plekhg2,3,0,3,> ES cells
Pmaip1,3,3,0,> B cells
Pml,3,1,2,> ES cells
Pole4,3,1,2,> ES cells
Polr2a,3,0,3,> ES cells
Por,3,1,2,> ES cells
Pou2f1,3,0,3,> ES cells
Ppfibp2,3,3,0,> B cells
Ppp1r16a,3,0,3,> ES cells
Ppp2r4,3,0,3,> ES cells
Ppp4r2,3,3,0,> B cells
Psip1,3,0,3,> ES cells
Psmd5,3,2,1,Same
Psme3,3,0,3,> ES cells
Ptp4a2,3,3,0,> B cells
Ptpn1,3,3,0,> B cells
Ptpn6,3,0,3,> ES cells
Ptrh2,3,3,0,> B cells
Pttg1ip,3,0,3,> ES cells
Pum1,3,0,3,> ES cells
Rab21,3,1,2,> ES cells
Rab26,3,2,1,> B cells
Rab7,3,1,2,> ES cells
Rab8a,3,3,0,> B cells
Rap1b,3,3,0,> B cells
Rasa3,3,3,0,Same
Rfc5,3,0,3,> ES cells
Rftn1,3,3,0,> B cells
Rnd2,3,0,3,> ES cells
Rnf10,3,0,3,> ES cells
Rpl35a,3,2,1,Same
Rpl8,3,0,3,> ES cells
Rplp0,3,3,0,> B cells
Rpp14,3,0,3,> ES cells
Rps6ka5,3,2,1,> B cells
Rps8,3,0,3,> ES cells
Satb1,3,3,0,> B cells
Senp3,3,0,3,> ES cells
Sept10,3,3,0,> B cells
Serinc3,3,3,0,> B cells
Sfpq,3,2,1,Same
Skp1a,3,1,2,> ES cells
Slc17a9,3,0,3,> ES cells
Slc25a12,3,1,2,> ES cells
Slc43a2,3,3,0,> B cells
Smad3,3,3,0,> B cells
Smg7,3,0,3,> ES cells
Snai1,3,2,1,> B cells
SNORD12,3,1,2,> ES cells
Snord12,3,1,2,> ES cells
SNORD46,3,0,3,> ES cells
Snord55,3,0,3,> ES cells
SNORD60,3,2,1,> B cells
Snrnp35,3,3,0,> B cells
Snx5,3,3,0,> B cells
Sowahc,3,3,0,> B cells
Spcs2,3,3,0,> B cells
Spen,3,0,3,#N/A
Sssca1,3,0,3,> ES cells
Strada,3,1,2,> B cells
Tatdn2,3,1,2,> ES cells
Tbrg4,3,0,3,> ES cells
Tex14,3,3,0,> ES cells
Tigd2,3,3,0,> B cells
Timeless,3,0,3,> ES cells
Tmem123,3,2,1,> B cells
Tmem154,3,1,2,> ES cells
Tnrc6a,3,0,3,> ES cells
Tnrc6c,3,1,2,Same
Top1,3,2,1,> B cells
Traf7,3,2,1,> B cells
Trerf1,3,2,1,Same
Tspan14,3,3,0,> B cells
Tuba1c,3,0,3,> ES cells
Tubb6,3,0,3,> ES cells
Txndc11,3,3,0,> B cells
Txndc12,3,0,3,> ES cells
