"","Gene","Rate01.x","Rate10.x","Eject.x","Decay.x","Rate01Mean.x","Rate10Mean.x","EjectMean.x","Rate01SD.x","Rate10SD.x","EjectSD.x","Rate01Median.x","Rate10Median.x","EjectMedian.x","Rate01MAD.x","Rate10MAD.x","EjectMAD.x","Model.x","Condition.x","Expression.x","Variance.x","ThirdMoment.x","BurstMean.x","BurstSD.x","BurstMedian.x","BurstMAD.x","Rate01.y","Rate10.y","Eject.y","Decay.y","Rate01Mean.y","Rate10Mean.y","EjectMean.y","Rate01SD.y","Rate10SD.y","EjectSD.y","Rate01Median.y","Rate10Median.y","EjectMedian.y","Rate01MAD.y","Rate10MAD.y","EjectMAD.y","Model.y","Condition.y","Expression.y","Variance.y","ThirdMoment.y","BurstMean.y","BurstSD.y","BurstMedian.y","BurstMAD.y","cat_IAA_120_bulk","LFC_off","LFC_on","LFC_eject","LFC_BS","OFF_time_WT","OFF_time_KO","BS_WT","BS_KO","BS"
"1","AGPAT5",0.00189849397905407,0.0128200072829985,0.0127642592379739,0.0014797449652288,0.00194065214820954,0.0354140555280768,0.0287162370829531,0.000262029590717095,0.0811495622899628,0.0571643863229964,0.00195180486849852,0.0156311750055454,0.0147809874312674,0.000182494288377352,0.00834989759334238,0.00605333085058968,2,"HCTDMSO2h",2.22512103281334,3.74464058513589,8.11452091620588,0.998450053180632,0.232999504731902,0.94823614375653,0.203102457188325,0.00177014099190115,4.78583771807792,1.68541257933724,0.0014797449652288,0.00156261843933127,0.0598705490270897,0.0225209451763793,0.000250696411783793,0.12659211966137,0.0438988327961611,0.00156932258402628,0.025930185888867,0.0106656655241484,0.000159020149844623,0.0176385894624222,0.00625943785125438,2,"HCTAUXIN2h",0.841635473653902,1.13933184869267,1.90719584742458,0.451989085632826,0.12620495248289,0.421215880708986,0.0803165772642747,"down",0.314666889078019,-0.730206317916985,-0.470768659868122,-1.17068655510213,512.346298618097,637.217618722075,0.94823614375653,0.421215880708986,-1.17068655510213
"2","AKAP12",0.00201079136878408,0.00669365724597123,0.218138576071096,0.00152580006162562,0.00204648710084585,0.00716298650783346,0.224373513546565,0.000544889102641247,0.003158541559868,0.036781517106962,0.00201311915585688,0.00673237980770869,0.218728285258958,6.179634068823e-05,0.000736057234044649,0.0139371773508889,2,"HCTDMSO2h",66.043301759134,1147.92667705508,25622.7174276067,32.4081210884349,2.96214502041026,32.5063601168524,2.32659002558788,0.0012233676388837,3.67814865331419,31.1760423395341,0.00152580006162562,0.00121472878017985,0.284921930390299,2.43788214318558,0.000106583703263151,0.223560646146902,1.89253227601707,0.00121294931713248,0.2294638597583,1.96961524601826,2.19283112933621e-05,0.0881894694558416,0.746865193255683,2,"HCTAUXIN2h",13.5533333333333,143.087155555556,2919.07662804509,8.60109564669913,0.291961110263127,8.59603726630504,0.269996169361454,"down",0.730913298461886,-5.09100657011268,3.17070213193295,-1.91897837763663,496.741584863788,824.436755827596,32.5063601168524,8.59603726630504,-1.91897837763663
"3","ARHGAP29",0.00489125747515233,0.012206312788744,0.0970379217136284,0.00351836285166317,0.00490217492762563,0.0126042380902795,0.098560893963623,0.000310429867290051,0.00268252931972438,0.0107003451739604,0.00489282154757397,0.0122355301692003,0.097177880463434,0.000205921924284255,0.00162288578488329,0.00658585754754987,2,"HCTDMSO2h",15.7788279773157,68.9527032442402,330.188456642238,7.98051092647865,0.803537664816702,7.94319357315795,0.792839669812863,0.00530527457978512,0.0846731042884544,0.173899462472927,0.00351836285166317,0.00512278542593505,0.0902732623822411,0.18376638847971,0.000355576375849277,0.148249279952578,0.265693771373557,0.0051297059085874,0.0586303476530438,0.127238253871517,0.000245019183854918,0.0231148265722527,0.0416836092025752,2,"HCTAUXIN2h",5.82643910905409,15.9496278465237,63.2402094745335,2.20342691784201,0.245735060194073,2.17271155652504,0.24264146947611,"down",-0.0682094516526379,-2.26057099614671,0.388832607151201,-1.87022250292559,204.381048905377,194.94294952191,7.94319357315795,2.17271155652504,-1.87022250292559
"4","ATG12",0.00171000227020245,0.0054447897549603,0.0176800738769099,0.00136647749885857,0.00174157773969777,0.00639305156894768,0.0193408052867521,0.000157051405253092,0.00396906234965778,0.0069018216832948,0.00173333748884759,0.00574879385929668,0.0182374278803303,0.000102279061497427,0.0012063281664282,0.00220549171287502,2,"HCTDMSO2h",6.18426724137931,15.9213257561682,49.934863881366,3.1985730386832,0.450745260221154,3.17326691573896,0.440812565959099,0.0018336830964464,0.00854612813042207,0.0125983672069587,0.00136647749885857,0.00191705161256091,0.0195144939314871,0.0227454251139114,0.000257246692477778,0.0354561492039698,0.0327412208461231,0.00191442811846763,0.0106869303477477,0.0146298056500505,0.000182591290718082,0.00481602510863205,0.00461370004167346,2,"HCTAUXIN2h",3.25722543352601,6.12574259079822,15.007913439456,1.42217502486052,0.322958110659615,1.37054038132929,0.310678669505837,"down",-0.143360910694717,-0.894516316636686,-0.3179916689436,-1.2112240409429,576.921693804044,522.349202016754,3.17326691573896,1.37054038132929,-1.2112240409429
"5","BCL2L1",0.0029351902298815,0.00548257390640428,0.0105356506043673,0.00290710756932127,0.00310247403229763,0.00813836751757878,0.0123528757404416,0.000631515555967446,0.0125225994389808,0.00835711300756152,0.00304592011472672,0.00604915289353155,0.0109717440646568,0.00040853489275493,0.00208078544910767,0.00163726095832541,2,"HCTDMSO2h",2.52741935483871,4.04440946930281,7.29108441307777,1.90518084411135,0.616743696127464,1.81399856863177,0.554321351952008,0.00306588279900773,0.0113522658503108,0.0118240658876021,0.00290710756932127,0.00318884039075138,0.0281493171147938,0.0212883701407935,0.000642883902882403,0.103890543551454,0.0586198839116517,0.00317458647925197,0.0130269297134806,0.0128112524306659,0.000451014923167665,0.00646239438574203,0.00392248180352018,2,"HCTAUXIN2h",1.72962856320184,2.64990533280925,4.8529872999758,1.06636210951684,0.383923688535927,0.984951161445248,0.315278859220577,"down",-0.0596905742768486,-1.10669206789603,0.22361864646028,-0.881049221696742,328.308019361735,315.001656604935,1.81399856863177,0.984951161445248,-0.881049221696742
"6","BDNF",0.00769142805948071,9.51834335865608,11.8282319495199,0.01659235014751,0.00705634851208347,0.266941435509141,0.359446792904392,0.000505219006051049,0.326094816299277,0.404889779443974,0.00705915323658262,0.180290018892373,0.252026183122231,0.000340712054105251,0.0734224729140748,0.0908575795563484,2,"HCTDMSO2h",1.14777927321669,2.51948026352733,7.69567336533196,1.41822458074351,0.13116070894456,1.40458922467346,0.126466621734198,0.00389701317187417,0.0536188848628139,0.0653308170168828,0.01659235014751,0.00378034589768736,0.0695174721387273,0.0793775408063722,0.000591475976902595,0.0945651584336522,0.0849975226159705,0.00378330244068276,0.0474573659907172,0.0597460961861147,0.000399479339258587,0.0184284064570176,0.0166099303118052,2,"HCTAUXIN2h",0.53314121037464,0.963599066514961,2.25538386540993,1.30852872492389,0.273040777900742,1.26302689906689,0.236506620814698,"down",0.899849027560587,1.92561559488807,-2.076657268302,-0.153262907703865,141.660049935976,264.31933890528,1.40458922467346,1.26302689906689,-0.153262907703865
"7","CCDC71L",0.00388510242564711,6.88060043532887,5.62538685296397,0.00880230159680642,0.00362440731628462,0.199932676634218,0.173195116547428,0.000299424913441441,0.239170586798892,0.194897075319793,0.00362272345497561,0.132202170812601,0.117962491845371,0.000198468983633393,0.061405266403833,0.0500009228725665,2,"HCTDMSO2h",0.720473500134517,1.31519288852294,3.37789576678881,0.911257395377835,0.0924532548332224,0.901337550245563,0.0861408309721931,0.00283984441424988,5.86087250546003,3.00999184128617,0.00880230159680642,0.00253365111712507,0.138623800160365,0.0768752213694838,0.000359426956921765,0.187760820052866,0.096351821136831,0.00253594478240079,0.0830251147650582,0.0484458487171926,0.000229442450042635,0.045375378901146,0.0233074407811252,2,"HCTAUXIN2h",0.331413763317017,0.507210699228941,1.0466977470736,0.613732438541565,0.119422783540033,0.593865100789995,0.0902110181024728,"down",0.514551347491491,0.671126149600917,-1.2838832506328,-0.601932242081599,276.035422639439,394.330352513944,0.901337550245563,0.593865100789995,-0.601932242081599
"8","CCND1",0.00117016208885732,0.00433500843503235,0.01485752326733,0.000765141973495746,0.00120174032914722,0.00572790791239657,0.0176714250013831,0.000106498508478086,0.0060134462503131,0.0120194306814935,0.00119526429892503,0.00477908674315971,0.0157810663312343,6.76264805812719e-05,0.00112676352035697,0.0023482809393529,2,"HCTDMSO2h",8.25350593311759,23.6353032424135,86.0404626520374,3.32273906932934,0.46304854786857,3.30305964407169,0.453513899364864,0.00145785243304127,0.0211011373681407,0.0360289772346931,0.000765141973495746,0.00143956456729675,0.0363296624850324,0.0583541990929779,0.000111809503010968,0.0536799293223389,0.0789186636415105,0.00144601772094692,0.0200339871954218,0.0344505489587728,7.49272337854799e-05,0.0103235408421134,0.0152779974002137,2,"HCTAUXIN2h",6.08494654724068,14.842827424187,51.7406832512556,1.7683688383079,0.226447347937877,1.72450869182445,0.211441696150268,"down",-0.274755567901509,-2.06764271847162,1.12633228004125,-0.93761762066748,836.63504456659,691.554457123217,3.30305964407169,1.72450869182445,-0.93761762066748
"9","CD44",0.000372354432331379,0.000879346643883112,0.00120297522785425,0.000175958243347384,0.000482272285082668,0.0163786741728485,0.0107124273945033,9.06282703021414e-05,0.06770678195617,0.0412132903903339,0.000491994708125208,0.0033571465181994,0.00278914074545075,6.25737456990637e-05,0.00245096136168142,0.0015636068034098,2,"HCTDMSO2h",4.06725854183481,6.4673622180633,12.2680514954507,0.947803350829356,0.359470216937424,0.832314018740258,0.256431594427659,0.000363349452245729,0.00218028361729684,0.00190710372131506,0.000175958243347384,0.00040616232047943,0.024486530026667,0.0155272338912252,5.5993451695694e-05,0.0694538039118989,0.042319640302653,0.000411050422067035,0.00796092659459528,0.00546456290446021,2.93566546771043e-05,0.005842040972848,0.00359588932094004,2,"HCTAUXIN2h",3.0963924963925,4.95117024710098,9.98840520835275,0.746342912683768,0.169094104781234,0.696227036357695,0.102515794159526,"down",0.259327423140333,-1.24570085695015,0.970285365862913,-0.257570097932867,2032.54218690805,2432.79156598681,0.832314018740258,0.696227036357695,-0.257570097932867
"10","CDC42EP1",0.00335508410280554,0.0142659250089238,0.0236524875305004,0.00305500751797434,0.00343675824108811,0.022565425992402,0.0318296421638796,0.000448653490915313,0.0327982520876849,0.032330613250739,0.00341472338411619,0.0154449884212568,0.0248659218708432,0.000305424228041618,0.00549100332587808,0.00567449968914939,2,"HCTDMSO2h",2.94814615797958,5.66388828814886,13.8127109783122,1.64898473625333,0.345036594803031,1.61063189299006,0.332803443433544,0.00249487788169168,0.0055952003639795,0.0118732091548,0.00305500751797434,0.00258033839464501,0.0069817641284663,0.0130361681395067,0.000428717914931514,0.00485780470066455,0.00415650171937265,0.00254976760154007,0.00594229424362696,0.0121905851583258,0.00028140204698976,0.00171083822193841,0.00160997135329294,2,"HCTAUXIN2h",2.39671564390665,4.14022545616264,8.12244650924014,2.1178207185577,0.533399782786971,2.05234043879713,0.499707673850377,"down",0.42140295641267,1.37804683965887,-1.02840253993016,0.349643256262253,292.849489552087,392.192605865725,1.61063189299006,2.05234043879713,0.349643256262253
"11","CDCP1",0.00384186091818861,0.00593591969100878,0.00693479052171798,0.00244316657922518,0.00440948610724853,0.0218607680213056,0.0127891771403706,0.00149654126852453,0.0566220183730307,0.020555254388458,0.00428435065056447,0.00802168990301712,0.00782661625739195,0.00107972469932056,0.00508100483371947,0.00226998249839961,2,"HCTDMSO2h",2.23054213633924,2.99864849835872,4.63226710883152,1.2413053989877,0.934026045462249,0.976331632288031,0.575197959252189,0.00603790750324087,3.66005219756732,1.22304150360694,0.00244316657922518,0.00497192539317476,0.0780476107953509,0.0301129187015982,0.000937068424869199,0.144544204666564,0.0480670754528245,0.00502219741473271,0.0368567301786761,0.0165370684339723,0.0006165921378194,0.0241633320302323,0.00831505393297189,2,"HCTAUXIN2h",1.64930955120829,2.20123945423559,3.64121114074069,0.514768414825876,0.206864388746,0.45454990785233,0.121375611614387,"down",-0.229242178227764,-2.19994998333231,1.07924289142451,-1.10293256825524,233.407599321556,199.116027790242,0.976331632288031,0.45454990785233,-1.10293256825524
"12","CDT1",0.00152455409955063,0.0167605265284245,0.0321523813519407,0.00405993708223312,0.00155245953991534,0.026316279251705,0.0459991548684416,0.000137156585131641,0.0460184241273695,0.0670294811027048,0.00154703893810584,0.0182276894369245,0.034262530067949,9.18341347229011e-05,0.0053211081242433,0.00771099955505436,2,"HCTDMSO2h",1.31896551724138,3.0205670332937,8.9726527263828,1.89197102422657,0.216997653847258,1.88006843796035,0.217136738776316,0.00133435060180657,0.0399759138058596,0.0790294571813435,0.00405993708223312,0.00131887776650873,0.0611930800348302,0.117128102135276,9.41431710631774e-05,0.0878331376851082,0.15741401068012,0.00131960497721384,0.0365762275452648,0.0730077443927131,6.20418335625588e-05,0.015379549641447,0.0272872982337973,2,"HCTAUXIN2h",1.25324862835692,3.29624630462922,12.1115592531016,2.02304183250503,0.179804027087495,2.00558045895135,0.176861365414123,"down",0.229403384568217,-1.0047745886098,1.09141781876285,0.0932346650668771,646.396141279017,757.802537325497,1.88006843796035,2.00558045895135,0.0932346650668771
"13","CHAF1A",0.000397495244680068,0.00296847994952846,0.00618966368622629,0.00317471988381894,0.000415920944788707,0.00393225778346577,0.00711920063009833,9.73478229847675e-05,0.00466787890654779,0.00458018088907521,0.000414667282806295,0.00326811181278515,0.0064799358364682,6.0940707186872e-05,0.00103670400341332,0.00105687228529124,2,"HCTDMSO2h",0.460172228202368,0.830760357850902,1.80895919378201,2.11917242346868,0.691875167842212,1.98625711192069,0.484198205637758,0.000250939098006809,0.0023143229236965,0.00509411249862659,0.00317471988381894,0.000272521339436286,0.0039142228225513,0.00658874488806685,8.87524650985059e-05,0.0141590723516933,0.0138261093080992,0.000271120684893584,0.00270155857387775,0.00545011877106795,5.52171911075823e-05,0.00107423136133578,0.00104490821045756,2,"HCTAUXIN2h",0.31377624388841,0.558144986458943,1.2121876545152,2.31955273960767,1.35084090695504,2.0216165174853,0.648750442874201,"down",0.613019036872253,0.274665381524045,-0.249691857797866,0.0254569716438366,2411.57197942509,3688.39434140742,1.98625711192069,2.0216165174853,0.0254569716438366
"14","CLDN3",0.00396359727592166,0.143673638966497,0.0440802879064076,0.00392610854872005,0.00317302416364303,0.0605736961918169,0.0200487812656541,0.000849424515558683,0.140078697615863,0.0394387636045628,0.00323762701556748,0.0240856784126727,0.00982003816783648,0.000547150120285581,0.0167262578942938,0.00495520177473055,2,"HCTDMSO2h",0.602736051502146,0.772170625610161,1.17475415839575,0.527407017698587,0.540529061979427,0.413425888287523,0.135804180968422,0.00174733321444738,2.119478091194,0.629355183686901,0.00392610854872005,0.00138980552771787,0.05793331806641,0.0188191998585551,0.00040287242263188,0.129499106411705,0.0379724102918475,0.00142347882151101,0.0233081558270113,0.00871983316010715,0.000242416212127848,0.0171107084076756,0.00513478162511494,2,"HCTAUXIN2h",0.263868927852831,0.341410843412217,0.532290061703254,0.498401584514837,0.484146914335524,0.385976549777259,0.110153425589592,"down",1.18551576352518,0.0473406993828344,-0.171428100284958,-0.0991155332085282,308.868191175729,702.504304868062,0.413425888287523,0.385976549777259,-0.0991155332085282
"15","CLSPN",0.000281990535472557,0.00389654685808182,0.00870808997622142,0.00319218777642386,0.000293946824607075,0.0056205774930617,0.0109712262515928,5.68566629778177e-05,0.0129061541663399,0.0175127452581812,0.000292017123265054,0.00428417770813977,0.00919317971942878,3.20772856105756e-05,0.00117420904107215,0.00154104176913235,2,"HCTDMSO2h",0.367303038451197,0.752961562106928,1.89837977396021,2.20684881206944,0.434072663258342,2.15030432719176,0.386482901210911,0.000395127097566111,0.0093074133518629,0.0111971515334756,0.00319218777642386,0.000414974594702995,0.0279862389127345,0.0282444631348325,7.22321665788751e-05,0.0766125574451612,0.0701879332933683,0.000416882449248351,0.0126904018646264,0.0142164625099742,4.42546695340028e-05,0.0063544165979917,0.00575515857300567,2,"HCTAUXIN2h",0.285261945883708,0.517071218085563,1.20814774331093,1.17604513155512,0.241957206935994,1.13134382857547,0.199392536388771,"down",-0.51358766779725,-1.56664752587813,0.628926673483117,-0.926503407480209,3424.45671958878,2398.75773567111,2.15030432719176,1.13134382857547,-0.926503407480209
"16","CMTM7",0.00210117330203982,0.00617042804979906,0.00803602023340736,0.00141843215775006,0.00226399391320203,0.014925004874429,0.0137676730024834,0.000413592530670744,0.0307729458844778,0.0199564018006104,0.00224760913562121,0.00801832769535708,0.00931632676679235,0.00029310627032736,0.0037922648416536,0.00265870261996617,2,"HCTDMSO2h",2.87806191117093,4.64865734744561,8.93869742819634,1.23805021715661,0.40258402313517,1.1629158968171,0.363952834629834,0.00228204933939972,2.48234745783448,1.40544124799876,0.00141843215775006,0.00206715130413444,0.0719254462910132,0.0435496890155768,0.000226888786325242,0.134194389710255,0.0755533752708366,0.00207693321997993,0.0348629996702869,0.0226908604969576,0.000146782532604749,0.020995443228283,0.011951698799615,2,"HCTAUXIN2h",1.81970046082949,2.85228470290301,5.96686078121151,0.686095305816982,0.121950396128407,0.658160913869149,0.0934609008143334,"down",0.113936339711599,-2.12032342238889,1.28427817327269,-0.821234506562485,444.917216321784,481.479130084722,1.1629158968171,0.658160913869149,-0.821234506562485
"17","CNN3",0.000481002220062144,0.000572000360576932,0.00205331275337256,0.000333427936894977,0.000524352279429995,0.000930517208328982,0.00239549109653813,9.83902049202208e-05,0.0031815782888828,0.0026861224007102,0.000514701638536017,0.000677694746445309,0.00217331066336562,5.67650751523001e-05,0.000183486413284128,0.000209440634497938,2,"HCTDMSO2h",5.62597682565346,10.1387377617912,18.8719687386167,3.30592348358016,0.918117956558184,3.20697257082788,0.860323823985218,0.000440048402663855,0.000405025574083761,0.00123074192406337,0.000333427936894977,0.000557314736718548,0.0019265957236006,0.00209821583382426,0.000177054424255946,0.011359795908256,0.00605126256733953,0.000528023753449862,0.000619075553475018,0.00139252088778557,9.8599510699238e-05,0.000262944212920675,0.000197396574277947,2,"HCTAUXIN2h",3.84424574560138,5.75768465607868,8.88276585296789,2.47101229968951,1.22239639374199,2.25029992253497,1.01760380671237,"down",-0.0368664561784905,0.130520097415208,-0.642195446828243,-0.511094716196066,1942.87316209899,1893.854193995,3.20697257082788,2.25029992253497,-0.511094716196066
"18","CYP24A1",0.000989882347156373,0.00275716288110539,0.00938209556674876,0.00190442019673013,0.00100776767091343,0.00302605366112981,0.00977372377778944,0.000110179332643924,0.00134494992779803,0.0018729440021303,0.00100338640622501,0.00286195903890564,0.00954459665170618,7.07400669780664e-05,0.000514757176513708,0.000820957587804438,2,"HCTDMSO2h",2.60258829873281,5.73691430367542,14.3072075502132,3.37759095901,0.505258097805004,3.33628833978522,0.486782462519926,0.000862748643474006,0.00576921775299609,0.0106763719641358,0.00190442019673013,0.000895942333237035,0.00928024300737782,0.0148813679732113,0.000105455642550202,0.0174916933282176,0.0209065648922185,0.000891238970744814,0.00664515385831984,0.0117338443284352,6.83407967711672e-05,0.00201020589665795,0.00246009789301042,2,"HCTAUXIN2h",1.45803288145371,3.02066448925628,8.00184635415072,1.79039514072919,0.280111371841278,1.76742199053456,0.272179756223647,"down",0.170993074715848,-1.21529957928391,0.297919620480461,-0.916597439962851,996.625022818722,1122.03352055431,3.33628833978522,1.76742199053456,-0.916597439962851
"19","DCTPP1",0.00145481035094467,0.00354822246102443,0.00779583692524892,0.00119186198273224,0.00153111862933358,0.00507605641774327,0.00931654925812844,0.00021949662356015,0.00482831765507115,0.0047290462268261,0.00151338517216273,0.00403929819607477,0.00831665950571619,0.00014182121888633,0.00118190828454701,0.00126596618111692,2,"HCTDMSO2h",3.80339348235928,7.17599710264537,15.7106520776789,2.1029550149233,0.475783004052133,2.0593577339915,0.456203301517848,0.00134270649533805,0.00350330072654721,0.00571761573462467,0.00119186198273224,0.00147046749217477,0.00714455813014214,0.00843404840180814,0.00026973105090657,0.0100873649932692,0.00741375315198272,0.00145219563298938,0.00456711956455696,0.00656212048315838,0.000183967802397968,0.00186452550065981,0.00149680663304035,2,"HCTAUXIN2h",2.6582827406765,4.4706823357848,9.06188566427887,1.50823100348094,0.456022596221734,1.43796481174916,0.424638221646437,"down",0.0595433955420219,-0.177179904027873,-0.341842084957799,-0.518166092163193,660.770317031014,688.612455018526,2.0593577339915,1.43796481174916,-0.518166092163193
"20","DST",0.00318998489425235,0.0246948720846396,0.0196517195377584,0.00270139148955935,0.00314615913809344,0.0464848071089023,0.0323383977429714,0.00045013431654948,0.087187654808285,0.0512397848482839,0.00315998743542881,0.0238016893111106,0.0191098373562734,0.000312134926884368,0.0123624758602296,0.00745204966885765,2,"HCTDMSO2h",1.66415703146007,2.60111108693026,4.98312411310172,0.849155844367548,0.205753125729932,0.805162223756709,0.17710947973685,0.00299772250193725,0.00968464175907784,0.00629339790731233,0.00270139148955935,0.00316758456380978,0.0355832061307717,0.0146114104936717,0.000951687205011586,0.101684258237395,0.0326455956715837,0.00320451371512204,0.0124707225809071,0.00723033620613379,0.000671963375982128,0.00851326949488182,0.0030328972761452,2,"HCTAUXIN2h",1.10126582278481,1.44141381771569,2.15312351281818,0.771550684296688,0.739218056528186,0.5828345355418,0.26204251313361,"down",-0.0201866224686041,0.932518911120346,-1.4021808613273,-0.466193120081227,316.456954476561,312.059828385511,0.805162223756709,0.5828345355418,-0.466193120081227
"21","DUSP2",0.00776161427468819,34.5984141465802,64.0120440694234,0.0341619577241249,0.00762654316786875,2.23018685793814,4.20090813170245,0.000376064575328816,1.73753705792988,3.21638371491435,0.00761668702709484,1.73936363784668,3.2923277158382,0.000252596417814933,0.653339007112605,1.20997478609031,2,"HCTDMSO2h",0.839589522009182,2.92160847314973,18.7749367601657,1.90072528612565,0.111624746128087,1.89704966706821,0.110989971977827,0.00528336821440714,32.1383642680821,76.1863889369547,0.0341619577241249,0.00516791787619213,1.51403937784503,3.65281435379257,0.000272987802768923,1.30106001994298,3.07860288605692,0.00516068496073615,1.15632736335987,2.80579889404481,0.000183212249131314,0.449670795757084,1.06403288197141,2,"HCTAUXIN2h",0.727509401214926,2.84504305928391,19.800993996711,2.43999373315253,0.159950933972856,2.43378706480593,0.158897330417717,"down",0.561601053448974,0.589009687912655,-0.230696340360303,0.359445499553314,131.290677487824,193.772727381784,1.89704966706821,2.43378706480593,0.359445499553314
"22","DUSP4",0.00751851198726382,0.0231459741415584,0.140172808418416,0.00843937024900234,0.00751364514815973,0.0236778438277363,0.141817036127999,0.000476720781068587,0.00499179789545722,0.0162434343493808,0.00749888359504498,0.0229737752456121,0.139663717633345,0.000319844046406116,0.00305668445048014,0.0100420407958591,2,"HCTDMSO2h",8.14586141817202,30.1801264418358,138.741748371679,6.10508951483051,0.584153568186415,6.07971130118363,0.580175662900727,0.0036944893504959,5.34354799898457,20.5766818742542,0.00843937024900234,0.00354933045702791,0.220614309375148,0.880496611777157,0.00015275016639023,0.245497828440692,0.944328543248648,0.00355091377639293,0.143993134039742,0.585265840087813,0.000100884890153066,0.0616470722455748,0.235611781699932,2,"HCTAUXIN2h",3.33169319826339,15.2549579145558,103.218920792135,4.10214008200964,0.231109531806745,4.08434090028168,0.225166802602661,"down",1.07848549957099,-2.64794016472889,2.06713479541235,-0.573899531983124,133.353183487308,281.617651954313,6.07971130118363,4.08434090028168,-0.573899531983124
